RE,MW,Norm,Smooth,Derivative,Calibration,MeanRSQ,MeanRMSE
 0 , 0 , 0 , 0 , 0 , 1 , 0.113379540514645 , 9.56780318629398E-02 
 0 , 0 , 0 , 0 , 0 , 3 , 0.252052219682132 , 0.124078369142725 
 0 , 0 , 0 , 0 , 1 , 1 , 7.78859190727255E-03 , 0.121432971106173 
 0 , 0 , 0 , 0 , 1 , 3 , 1.06294922301232E-04 , 0.107967330350665 
 0 , 0 , 0 , 0 , 2 , 1 , 7.76680341871983E-03 , 0.117167180878826 
 0 , 0 , 0 , 0 , 2 , 3 , 6.52634962391733E-03 , 0.136588526693815 
 0 , 0 , 0 , 1 , 0 , 1 , 0.239588096859591 , 0.135610764921731 
 0 , 0 , 0 , 1 , 0 , 3 , 0.238898036177713 , 0.146514572301263 
 0 , 0 , 0 , 1 , 1 , 1 , 3.22083145335036E-05 , 0.116566672275527 
 0 , 0 , 0 , 1 , 1 , 3 , 9.09479500392026E-03 , 0.131696217595812 
 0 , 0 , 0 , 1 , 2 , 1 , 1.13175922055641E-02 , 0.122080954920905 
 0 , 0 , 0 , 1 , 2 , 3 , 5.11445065932297E-02 , 0.104420510903547 
 0 , 0 , 1 , 0 , 0 , 1 , 5.28378349176469E-04 , 0.130734514105625 
 0 , 0 , 1 , 0 , 0 , 3 , 2.48335400164313E-02 , 0.614822978300381 
 0 , 0 , 1 , 0 , 1 , 1 , 1.78733295020065E-04 , 0.144023158147644 
 0 , 0 , 1 , 0 , 1 , 3 , 5.35273633091747E-02 , 0.1547134257216 
 0 , 0 , 1 , 0 , 2 , 1 , 2.05812196935903E-02 , 0.159545000517748 
 0 , 0 , 1 , 0 , 2 , 3 , 0.002537376720736 , 0.121988073918571 
 0 , 0 , 1 , 1 , 0 , 1 , 1.53786432980137E-03 , 0.124069895148051 
 0 , 0 , 1 , 1 , 0 , 3 , 4.09547225597746E-02 , 0.528166452271327 
 0 , 0 , 1 , 1 , 1 , 1 , 4.79495974442212E-02 , 0.106977106929861 
 0 , 0 , 1 , 1 , 1 , 3 , 0.197950373937638 , 0.13808688148933 
 0 , 0 , 1 , 1 , 2 , 1 , 1.40551684253925E-02 , 0.163967669859106 
 0 , 0 , 1 , 1 , 2 , 3 , 4.1188558215267E-03 , 0.159621589396562 
 0 , 0 , 2 , 0 , 0 , 1 , 4.53466586448068E-02 , 0.126117514781709 
 0 , 0 , 2 , 0 , 0 , 3 , 4.03892521884765E-02 , 0.13715847493109 
 0 , 0 , 2 , 0 , 1 , 1 , 1.17906859340347E-03 , 0.125207997303885 
